day;Local O 50p;Local O 99,5p;Local O 99,8p;Remote O 50p;Remote O 99,5p;Remote O 99,8p;Remote Rprt O 50p;Remote Rprt O 99,5p;Remote Rprt O 99,8p
2023-11-01;10.0;136.0;253.0;10.0;304.0;411.32400000002235;6.0;60.0;158.0
2023-11-02;8.0;138.0;198.0;11.0;333.0;418.0;7.0;111.0;190.0
2023-11-03;12.0;117.0;175.0;10.0;126.0;188.0;7.0;39.0;65.0
2023-11-04;12.0;99.0;131.0;10.0;106.0;218.0;6.0;32.0;43.0
2023-11-05;7.0;158.0;247.07600000000093;12.0;559.0;748.0;6.0;143.0;255.0
2023-11-06;6.0;166.0;365.0;10.0;413.0;585.0;6.0;195.0;314.0
2023-11-07;12.0;149.0;277.0;12.0;402.0;489.0;6.0;153.0;273.0
2023-11-08;10.0;194.24499999999534;472.0;11.0;371.0;521.0;7.0;206.0;340.0
2023-11-09;11.0;117.0;208.0;7.0;193.0;307.0;5.0;37.0;79.0
2023-11-10;6.0;108.0;191.83799999998882;6.0;136.0;229.0;4.0;66.0;143.09600000001956
2023-11-11;6.0;99.0;132.0;5.0;69.0;182.0;4.0;29.0;48.0
2023-11-12;6.0;102.0;141.6699999999837;7.0;76.0;155.0;4.0;31.0;44.0
2023-11-13;8.0;111.0;252.0;6.0;215.0;266.0;4.0;42.0;153.0
2023-11-14;11.0;95.0;136.0;7.0;65.0;99.0;4.0;38.0;60.0
2023-11-15;9.0;456.0;484.0;6.0;316.0;413.0;4.0;63.0;195.78000000002794
2023-11-16;7.0;12876957.745000012;15053461.176000003;11.0;13917193.475;15476822.02;7.0;15050237.365000011;16852651.164000005
2023-11-17;9.0;55607719.53999947;65018313.86399937;15.0;59152451.67999999;67004034.648;1162017.0;61905170.710000105;69092655.99599986
2023-11-18;5.0;5.989999999999999;5.996;0;0;0;0;0;0
2023-11-19;14.0;15.945;15.978;0;0;0;0;0;0
2023-11-20;6.0;33253619.680000003;50396288.584;7.0;25893979.320000008;36064388.34800142;6.0;29298197.999999963;43903462.67999992
2023-11-21;6.0;15383599.700000022;20401080.272;8.0;17248342.03500001;21546930.811999995;5.0;14934213.625;19330388.450000003
2023-11-22;7.0;33103627.12;38038614.066000104;14.0;35812307.69999992;40616077.375999495;1131433.0;38122936.55;42136917.151999965
2023-11-23;5.0;13747815.650000047;20542696.664000362;7.0;20938956.679999985;26678030.32000015;6.0;19783787.875000015;25172910.90799996
2023-11-24;5.0;112.0;152.0;8.0;111.0;193.0;6.0;45.0;110.0
2023-11-25;5.0;106.0;131.0;8.0;45.0;75.0;6.0;27.0;34.0
2023-11-26;5.0;110.0;212.0;8.0;58.0;83.0;6.0;42.0;55.0
2023-11-27;4.0;86.0;122.0;6.0;69.0;127.0;5.0;35.0;55.0
2023-11-28;4.0;69.0;99.0;6.0;43.0;70.0;4.0;29.0;45.0
2023-11-29;5.0;87.0;119.0;6.0;53.0;91.0;4.0;32.0;52.0
2023-11-30;4.0;109.0;191.0;6.0;85.0;154.0;4.0;32.0;57.0